No,"ID Pengujian","Modul / Fitur","Skenario Pengujian","Tipe Perangkat / Viewport","Prasyarat (Pre-condition)","Langkah-langkah Pengujian (Test Steps)","Hasil yang Diharapkan (Expected Result)","Kriteria Penerimaan (Acceptance Criteria)","Status Pengujian","Tingkat Kepentingan (Severity)","Catatan Penguji"
49,UAT-FE-PAY-007,"4. Instruksi Pembayaran & Upload Bukti","Form Upload Bukti Pembayaran Transfer","Desktop & Mobile","Pengguna telah melakukan transfer dan memiliki file bukti transfer.","1. Pilih bank tujuan transfer.
2. Masukkan nama pemilik rekening pengirim.
3. Masukkan jumlah uang yang ditransfer.
4. Pilih file gambar bukti transfer dari perangkat atau drag & drop ke area upload.","1. Field input terisi dengan lancar.
2. File bukti transfer terpilih dan menampilkan nama serta ukuran file.","Formulir upload bukti menerima data dan file dengan baik.",Pass,Kritis,"Langkah verifikasi pembayaran."
50,UAT-FE-PAY-008,"4. Instruksi Pembayaran & Upload Bukti","Validasi Format & Ukuran File Bukti Pembayaran","Desktop & Mobile","Pengguna mencoba mengunggah file.","1. Coba upload file bukan gambar/PDF (misal: .exe atau .zip).
2. Coba upload file gambar dengan ukuran di atas batas maksimal (misal: > 5MB).","1. Sistem menolak file yang tidak didukung dan menampilkan pesan error format yang valid (JPG, PNG, WebP, PDF).
2. Sistem menolak file yang melebihi batas ukuran dan menampilkan peringatan ukuran maksimal file.","Sistem memproteksi jenis dan ukuran file yang diupload.",Pass,Tinggi,"Keamanan dan kebersihan media upload."
51,UAT-FE-PAY-009,"4. Instruksi Pembayaran & Upload Bukti","Preview Bukti Transfer & Submit Konfirmasi","Desktop & Mobile","File bukti transfer valid telah dipilih.","1. Periksa kotak preview gambar bukti transfer.
2. Klik tombol 'Kirim Bukti Pembayaran'.","1. Thumbnail preview bukti transfer tampil jelas.
2. Saat tombol kirim diklik, muncul loading indicator.
3. Setelah berhasil, muncul notifikasi sukses dan status pembayaran terupdate menjadi 'Menunggu Konfirmasi Admin'.","Proses upload bukti transfer selesai dengan sukses dan data tersimpan.",Pass,Kritis,"Alur konfirmasi transfer berhasil."
52,UAT-FE-PAY-010,"4. Instruksi Pembayaran & Upload Bukti","Fitur Re-upload Bukti Transfer","Desktop & Mobile","Pengguna sebelumnya telah mengupload bukti transfer tetapi ingin menggantinya.","1. Klik tombol 'Unggah Ulang Bukti' / 'Ganti Bukti Transfer'.
2. Pilih file baru dan kirim ulang.","1. Form upload terbuka kembali.
2. File baru menggantikan file sebelumnya setelah konfirmasi.","Tamu dapat memperbarui bukti pembayaran jika terjadi salah kirim foto.",Pass,Sedang,"Fleksibilitas revisi bukti transfer."
53,UAT-FE-PAY-011,"4. Instruksi Pembayaran & Upload Bukti","Tombol Unduh Invoice / Tanda Terima PDF","Desktop & Mobile","Data reservasi berhasil termuat di halaman pembayaran.","1. Klik tombol 'Unduh Invoice' / 'Download PDF'.","1. Dokumen invoice resmi berformat PDF terunduh ke perangkat pengguna.
2. Berkas PDF memuat data lengkap villa, rincian biaya, status, dan kode booking.","Invoice PDF dapat diunduh dan dibuka dengan sempurna.",Pass,Tinggi,"Dokumen resmi bukti booking bagi tamu."
54,UAT-FE-PAY-012,"4. Instruksi Pembayaran & Upload Bukti","Konfirmasi Cepat via WhatsApp dengan Format Pesan Otomatis","Desktop & Mobile","Pengguna berada di halaman pembayaran.","1. Klik tombol 'Konfirmasi Pembayaran via WhatsApp'.","1. Membuka aplikasi WhatsApp ke nomor CS villa.
2. Kolom chat WhatsApp otomatis terisi pesan template memuat Kode Booking, Nama Tamu, dan Tanggal Menginap.","Pesan otomatis memudahkan tamu melakukan konfirmasi tanpa perlu mengetik ulang.",Pass,Tinggi,"Mempercepat verifikasi oleh admin/owner."
55,UAT-FE-CHK-001,"5. Cek Status & Reschedule","Pencarian Status Reservasi dengan Kode Booking & No HP","Desktop & Mobile","Pengguna berada di halaman `/cek-booking`.","1. Buka halaman `/cek-booking`.
2. Masukkan Kode Booking yang valid (misal: VA-202609-001).
3. Masukkan Nomor WhatsApp yang digunakan saat reservasi.
4. Klik tombol 'Cari Reservasi'.","1. Sistem memproses pencarian dengan loading state halus.
2. Jika data cocok, tampil kartu ringkasan reservasi lengkap.","Pencarian berhasil menampilkan data reservasi yang sesuai.",Pass,Kritis,"Verifikasi ganda (kode + nomor HP) untuk privasi."
56,UAT-FE-CHK-002,"5. Cek Status & Reschedule","Validasi Input Form Pencarian Reservasi","Desktop & Mobile","Pengguna berada di halaman `/cek-booking`.","1. Klik tombol 'Cari Reservasi' dengan kolom kode booking dan nomor HP masih kosong.","1. Form tidak memproses pencarian.
2. Muncul notifikasi bahwa kode booking dan nomor WhatsApp wajib diisi.","Sistem memvalidasi input sebelum mengirim permintaan ke server.",Pass,Sedang,"Validasi form frontend."
57,UAT-FE-CHK-003,"5. Cek Status & Reschedule","Penanganan Pencarian Tidak Ditemukan / Data Tidak Cocok","Desktop & Mobile","Pengguna memasukkan kode booking fiktif atau nomor HP yang salah.","1. Masukkan kode booking yang tidak ada (misal: VA-999999-999).
2. Masukkan nomor HP sembarang.
3. Klik tombol 'Cari Reservasi'.","1. Sistem menampilkan banner peringatan merah ramah pengguna: 'Data reservasi tidak ditemukan. Pastikan kode booking dan nomor WhatsApp sudah sesuai.'.","Pesan error informatif dan memandu pengguna memeriksa kembali datanya.",Pass,Tinggi,"Error handling yang jelas."
58,UAT-FE-CHK-004,"5. Cek Status & Reschedule","Pembukaan Modal Ajukan Reschedule Jadwal Menginap","Desktop & Mobile","Data reservasi ditemukan dan berstatus dapat di-reschedule (misal: H-10 sebelum check-in).","1. Klik tombol 'Ajukan Reschedule Jadwal'.","1. Modal pengajuan reschedule terbuka dengan animasi transisi yang mulus.
2. Menampilkan tanggal menginap saat ini dan kalender pemilihan tanggal baru.","Modal reschedule terbuka dengan data tanggal lama tertera jelas.",Pass,Tinggi,"Fitur self-service reschedule tamu."
59,UAT-FE-CHK-005,"5. Cek Status & Reschedule","Pemilihan Tanggal Baru pada Modal Reschedule","Desktop & Mobile","Modal reschedule dalam kondisi terbuka.","1. Pilih tanggal Check-in baru yang berstatus tersedia di kalender.
2. Pilih tanggal Check-out baru.","1. Tanggal yang sudah terisi/diblokir tidak dapat dipilih.
2. Tanggal baru yang dipilih tampil jelas pada ringkasan perubahan jadwal.","Hanya tanggal yang benar-benar tersedia yang dapat dipilih sebagai jadwal baru.",Pass,Kritis,"Sinkron dengan ketersediaan live."
60,UAT-FE-CHK-006,"5. Cek Status & Reschedule","Pengisian Alasan & Submit Pengajuan Reschedule","Desktop & Mobile","Tanggal baru telah dipilih pada modal reschedule.","1. Tuliskan alasan reschedule pada kolom yang tersedia.
2. Klik tombol 'Kirim Pengajuan Reschedule'.","1. Tombol menampilkan loading spinner.
2. Setelah berhasil, muncul notifikasi sukses bahwa pengajuan reschedule telah diterima dan sedang menunggu persetujuan admin villa.","Pengajuan reschedule tersimpan dan status reservasi terupdate.",Pass,Tinggi,"Notifikasi verifikasi reschedule."
61,UAT-FE-TRM-001,"6. Tata Tertib & Kebijakan Villa","Akses Halaman Tata Tertib dari Menu & Footer","Desktop & Mobile","Pengguna berada di halaman utama atau modal booking.","1. Klik link 'Tata Tertib' pada header, footer, atau link ketentuan di modal booking.","1. Halaman `/tata-tertib` termuat sempurna dengan tata letak artikel yang rapi, elegan, dan mudah dibaca.","Halaman tata tertib dapat diakses dari semua titik tautan.",Pass,Sedang,"Halaman informatif dan legalitas."
62,UAT-FE-TRM-002,"6. Tata Tertib & Kebijakan Villa","Kelengkapan Informasi Aturan Menginap Villa","Desktop & Mobile","Pengguna membaca halaman `/tata-tertib`.","1. Periksa bagian Jam Check-in (14:00) & Check-out (12:00).
2. Periksa aturan larangan merokok di dalam kamar, larangan membawa hewan peliharaan, batas kebisingan malam (quiet hours), dan kebijakan kapasitas tamu maksimal.","1. Semua poin aturan dikelompokkan dalam kategori dan ikon yang jelas.
2. Tidak ada teks yang tumpang tindih atau sulit dibaca.","Aturan villa jelas, tegas, dan mudah dipahami tamu.",Pass,Sedang,"Menjaga kenyamanan dan keamanan villa."
63,UAT-FE-TRM-003,"6. Tata Tertib & Kebijakan Villa","Kebijakan Pembatalan, Reschedule & Deposit","Desktop & Mobile","Pengguna membaca kebijakan finansial pada tata tertib.","1. Periksa ketentuan non-refundable (pembatalan tidak dapat mengembalikan uang).
2. Periksa ketentuan reschedule maksimal 1x (diinfokan minimal H-10).
3. Periksa aturan deposit jaminan (security deposit) saat check-in.","1. Informasi finansial tertulis transparan.
2. Terdapat tombol CTA untuk langsung reservasi atau chat WhatsApp bantuan jika ada pertanyaan.","Kebijakan non-refundable dan reschedule tersampaikan dengan jelas.",Pass,Tinggi,"Dasar hukum operasional villa."
64,UAT-FE-RSP-001,"7. Responsivitas & Kompatibilitas","Uji Responsivitas Desktop Resolusi Tinggi","Desktop (1280px - 1920px)","Website diuji pada monitor laptop dan PC desktop resolusi besar.","1. Buka website pada resolusi 1366x768, 1536x864, dan 1920x1080.
2. Periksa alignment container, keterbacaan teks, dan modal reservasi.","1. Container terpusat dengan padding proporsional (max-w-7xl).
2. Gambar tidak pecah, tombol dan card simetris.","Tampilan sempurna di layar laptop maupun monitor desktop besar.",Pass,Tinggi,"Uji layar desktop."
65,UAT-FE-RSP-002,"7. Responsivitas & Kompatibilitas","Uji Responsivitas Tablet / iPad","Tablet (768px - 1024px)","Website diuji pada resolusi tablet (portrait & landscape).","1. Buka website pada viewport iPad (768x1024 dan 1024x768).
2. Uji navigasi, grid galeri, fasilitas, dan modal reservasi.","1. Grid berpindah adaptif menjadi 2 kolom.
2. Header menyesuaikan dan modal reservasi menyesuaikan proporsi tablet.","Layout fleksibel pada perangkat tablet.",Pass,Sedang,"Uji layar tablet."
66,UAT-FE-RSP-003,"7. Responsivitas & Kompatibilitas","Uji Responsivitas Smartphone Layar Kecil & Sedang","Mobile (375px - 430px)","Website diuji pada smartphone (iPhone SE, iPhone 14/15/16 Pro, Samsung Galaxy, Xiaomi).","1. Buka website pada viewport 375px, 390px, dan 414px.
2. Buka modal reservasi online dan cek semua interaksi kalender dan formulir.","1. Tidak terjadi horizontal scrolling pada halaman (no horizontal overflow).
2. Kalender tampil utuh pada Tab 1.
3. Form tampil utuh pada Tab 2 dengan tombol aksi fixed di bawah.","Tidak ada elemen yang terpotong, tertimpa, atau keluar dari batas layar smartphone.",Pass,Kritis,"Telah diverifikasi menggunakan browser mobile subagent."
67,UAT-FE-RSP-004,"7. Responsivitas & Kompatibilitas","Perilaku Virtual Keyboard pada Smartphone","Mobile (< 1024px)","Pengguna mengisi form modal reservasi pada smartphone fisik.","1. Ketuk input Nama, Nomor HP, atau Email sehingga keyboard virtual muncul.
2. Periksa posisi tombol submit dan area scroll form.","1. Area input tetap terlihat dan dapat diketik dengan leluasa.
2. Tombol submit tetap dapat diakses setelah keyboard menutup atau saat di-scroll.","Keyboard virtual tidak merusak layout modal reservasi.",Pass,Tinggi,"Dukungan input sentuh mobile."
68,UAT-FE-RSP-005,"7. Responsivitas & Kompatibilitas","Kompatibilitas Lintas Browser Modern","Desktop & Mobile","Pengujian dilakukan di berbagai web browser utama.","1. Buka website di Google Chrome, Safari (macOS & iOS), Mozilla Firefox, dan Microsoft Edge.","1. Semua komponen visual, animasi framer-motion, datepicker, form validasi, dan styling Tailwind CSS berjalan konsisten tanpa error pada seluruh browser.","Kompatibilitas lintas browser 100% terjaga.",Pass,Tinggi,"Menggunakan standar modern web CSS/HTML5."
